RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Jared Butler,Uta,G,21.51,28,7.6,15.9,23.5,19.1,12,0.583,41,0.463,47,0.362,0.506,0.515,3.4,0.8,5.9,1.2,23.4,0.32,0.25,0.79,7.8,98.6,99.3
,Jimmy Butler,Mia,F,32.46,43,34.1,71,26.9,10.4,350,0.877,562,0.516,81,0.198,0.488,0.587,21.7,6.3,10.4,5.8,28.1,1.81,0.44,2.16,10.9,123.8,105.4
,Devontae Cacok,San,F,25.39,11,8.4,17.5,14.2,6.4,7,0.571,26,0.692,0,0,0.692,0.688,3.6,3.3,20.5,0.5,7.6,0.64,0.64,0.18,8.6,137.8,94.1
,Kentavious Caldwell-Pope,Was,G,29.03,57,29.7,61.9,18.1,9.8,90,0.911,287,0.446,296,0.378,0.508,0.541,11.8,3.3,6.1,1.8,8.6,1.09,0.37,1.19,5.6,104.9,110.9
,Facundo Campazzo,Den,G,30.94,56,20,41.8,14.8,17,74,0.811,99,0.485,182,0.313,0.475,0.521,5.8,2,5.5,3.6,24,1.05,0.41,1.14,6.9,110.4,102.5
,Vlatko Cancar,Den,F,24.89,14,10.9,22.7,15.1,15.3,12,0.75,27,0.556,12,0.583,0.654,0.678,4.3,1.6,8.4,0.9,12,0.14,0.21,0.57,6.7,123.8,106.2
,Clint Capela,Atl,C,27.79,52,27.9,58.1,15.3,6.1,122,0.467,423,0.591,1,0,0.59,0.583,10.7,12.1,23.7,1.3,7.1,0.69,1.38,0.6,7.9,130.7,104.4
,Vernon Carey Jr.,Cha,F-C,21.01,4,4.2,8.8,20.8,12,3,0.667,6,0.5,0,0,0.5,0.546,2,1.3,15.4,0,0,0.25,0,0.25,0,113.1,109.7
,Vernon Carey Jr.,Was,F-C,21.01,1,1.4,2.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,Wendell Carter Jr.,Orl,C-F,22.87,53,29.4,61.3,20.2,13,166,0.705,374,0.615,187,0.326,0.573,0.599,14.3,10.3,18.6,2.7,15,0.6,0.68,1.79,10,115.6,103.2
,Jevon Carter,Bro,G,26.46,46,12,25,15.9,12.7,10,0.7,47,0.34,127,0.331,0.454,0.462,3.6,1.5,6.5,1,11.1,0.3,0.22,0.57,5.8,93.4,109
,Jevon Carter,Mil,G,26.46,2,18.9,39.4,12.2,0,4,1,4,0,5,0.4,0.333,0.465,5,2,5.6,1.5,9.9,0,0,0,5.2,119,103
,Alex Caruso,Chi,G,28,28,27.7,57.7,14,16.1,59,0.814,95,0.505,87,0.345,0.511,0.563,8.4,3.9,7.7,3.9,18.2,1.93,0.39,1.43,7.3,115.1,104.2
