RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Malik Fitts,Bos,F,20,1,2.9,6,15.2,0,0,0,0,0,1,0,0,0,0,1,18.4,0,0,0,0,0,0,,
,Malachi Flynn,Tor,G,23.81,37,10,20.8,17.1,6.8,16,0.625,65,0.462,66,0.288,0.447,0.46,3.4,1.2,6.6,1.2,17.7,0.43,0.08,0.27,6.8,106.7,105
,Bryn Forbes,San,G,28.61,40,16.9,35.2,21.9,9.4,49,0.898,145,0.448,151,0.417,0.539,0.572,9.1,1.6,4.9,1,8.5,0.43,0.08,0.83,5.8,107.1,111.3
,Bryn Forbes,Den,G,28.61,18,20.3,42.2,20.8,8.1,19,0.895,75,0.467,75,0.453,0.573,0.597,10.5,1.1,2.9,1.2,8.7,0.28,0.06,0.78,4.7,111.2,108.3
,Aleem Ford,Orl,F,20,5,14.7,30.6,14.1,16.7,0,0,5,0.8,15,0.133,0.35,0.35,2.8,3,10.9,0.4,3.8,0.2,0,0.8,4.1,67.4,106.1
,Trent Forrest,Uta,G,23.72,48,12.3,25.6,12.6,24.6,36,0.806,95,0.6,18,0.222,0.558,0.602,3.2,1.7,7.7,1.6,17.5,0.54,0.06,0.88,6.7,112.5,106.1
,Evan Fournier,Nyk,G-F,29.34,59,29.7,61.9,21.4,9.6,86,0.698,283,0.47,452,0.396,0.546,0.558,14.6,2.9,5.3,1.9,10.5,0.95,0.27,1.39,5.8,108,108
,De'Aaron Fox,Sac,G,24.2,51,34.7,72.2,28.5,12.1,302,0.748,708,0.521,194,0.268,0.496,0.541,22,3.9,6,5.3,25.3,1.12,0.45,2.8,8.9,106.3,110.2
,Tim Frazier,Orl,G,31.33,10,20,41.6,13,21.7,9,0.556,26,0.269,17,0.353,0.372,0.394,3.7,1.9,5.1,3.3,22.7,0.3,0.1,1.3,5.7,89.1,106.3
,Tim Frazier,Cle,G,31.33,1,4,8.3,22,50,0,0,1,1,0,0,1,1,2,0,0,1,43.8,0,0,1,0,101.5,88.8
,Enes Freedom,Bos,C,29.78,35,11.8,24.5,13.8,15.5,28,0.857,92,0.533,5,0.4,0.536,0.585,3.7,4.6,20.8,0.2,2.8,0.14,0.4,0.57,5.1,121.3,96.7
,Markelle Fultz,Orl,G,23.76,1,15.9,33.1,21.8,12.5,0,0,7,0.714,0,0,0.714,0.714,10,2,6.7,6,78.9,0,0,1,12.4,150.3,115.8
,Wenyen Gabriel,Bro,F,24.93,1,1.3,2.7,0,,0,0,0,0,0,0,,,0,1,41.4,0,0,0,0,0,0,,
,Wenyen Gabriel,Lac,F,24.93,6,7.7,16.1,16.8,16.9,4,0.5,8,0.375,5,0.4,0.462,0.474,2.3,2.3,15.8,0.3,6,0.17,0.33,0.5,6.1,97.6,85.3
,Daniel Gafford,Was,F-C,23.41,51,20.7,43,15.9,12.5,91,0.736,290,0.683,0,0,0.683,0.701,9.1,6,15.9,1,7.7,0.39,1.49,0.92,7.3,135.4,102.5
,Danilo Gallinari,Atl,F,33.56,49,23.8,49.6,18.2,6.2,126,0.905,200,0.445,200,0.39,0.515,0.577,10.7,4.5,10.3,1.4,8,0.47,0.2,0.61,6.8,119.1,110.4
,Langston Galloway,Bro,G,30.23,4,14.6,30.3,13.3,27.8,0,0,5,0.6,8,0.25,0.462,0.462,3,2,7.4,1.3,11.1,0,0,1.25,5.4,79.8,109.5
,Langston Galloway,Mil,G,30.23,3,16.2,33.7,12.4,7.1,0,0,5,0.2,8,0,0.077,0.077,0.7,3.3,10.9,2.3,17.4,0.33,0,0.33,4.3,56,109.3
,Darius Garland,Cle,G,22.09,47,34.6,72.1,26.9,17.8,112,0.911,446,0.547,320,0.378,0.555,0.584,20.3,3.3,5.2,8,38.6,1.19,0.11,3.74,9.4,110.5,106.3
,Marcus Garrett,Mia,G,23.31,12,10.7,22.3,8.7,7.9,5,0.4,17,0.235,4,0.25,0.262,0.28,1.1,1.9,10.1,0.6,7.1,0.42,0.25,0.17,4,89.6,97.6
,Usman Garuba,Hou,F,19.98,15,7,14.5,11.3,10.8,2,0.5,11,0.545,13,0.154,0.375,0.382,1.3,2.3,17.8,0.5,10.5,0.47,0.4,0.2,6.5,99.1,106
,Luka Garza,Det,C,23.18,29,11.7,24.4,20,10.7,42,0.643,83,0.494,41,0.341,0.5,0.53,5.2,3,13.8,0.6,7.6,0.28,0.14,0.59,7.2,111.9,103.6
,Rudy Gay,Uta,F-G,35.54,36,19.8,41.2,19.5,9.7,62,0.79,115,0.504,146,0.342,0.51,0.546,8.8,4.5,12.5,1.1,8.3,0.56,0.33,0.86,7.1,112.5,102.1
,Paul George,Lac,F,31.83,26,35.5,74,34,15.2,117,0.88,339,0.484,217,0.323,0.484,0.528,24.7,7.1,10.5,5.5,26.9,2.04,0.38,4.19,11.1,97.8,102
,Taj Gibson,Nyk,F,36.69,39,18.3,38,9.3,15.2,33,0.758,92,0.565,22,0.364,0.561,0.595,3.9,4.5,13.1,0.6,5.1,0.41,0.82,0.59,4.8,123.1,97.1
,Josh Giddey,Okc,G,19.39,54,31.5,65.6,22.3,19.5,79,0.709,457,0.492,213,0.263,0.461,0.478,12.5,7.8,12.6,6.4,33,0.94,0.37,3.17,10.9,97.4,106.8
,Shai Gilgeous-Alexander,Okc,G-F,23.64,46,34.6,72.1,30.3,10.8,329,0.805,596,0.503,254,0.283,0.48,0.543,23.5,4.8,7,5.6,29.4,1.2,0.78,2.63,9.9,109.2,106.8
,Anthony Gill,Was,F,29.37,27,8.7,18.1,15.3,13.6,31,0.71,44,0.614,12,0.583,0.67,0.696,3.6,1.6,9.8,0.5,8.8,0.15,0.22,0.41,6.5,132.9,99.8
,Freddie Gillespie,Orl,F,20,9,13.2,27.5,11,16.6,7,0.429,21,0.429,1,0,0.409,0.419,2.3,4,16.2,0.6,5.9,0.33,1,0.56,5.4,97.9,98.3
,Rudy Gobert,Uta,C,29.68,46,32.1,66.9,17.1,14.3,298,0.688,363,0.708,2,0,0.704,0.725,15.6,14.8,25.2,1.2,5.4,0.72,2.28,1.8,8.1,137.6,98.7
,Brandon Goodwin,Cle,G,26.41,19,18.5,38.5,19.2,15,21,0.619,74,0.432,47,0.34,0.463,0.48,6.6,2.7,7.9,3.8,30,1.05,0,1.21,8.8,105.3,100.1
,Jordan Goodwin,Was,G,23.35,2,3,6.1,22.6,0,0,0,2,0,1,0,0,0,0,0.5,9.3,0,0,0,0,0,0,,
,Aaron Gordon,Den,F,26.46,56,31.6,65.9,19.4,12.7,157,0.739,416,0.606,195,0.338,0.574,0.601,14.6,5.8,10.1,2.6,12,0.7,0.52,1.77,7.6,115,107.9
,Eric Gordon,Hou,G,33.18,49,29.7,61.8,19.1,14.1,120,0.758,244,0.549,268,0.414,0.587,0.613,14.1,2,3.7,2.9,15.4,0.49,0.37,1.9,5.8,112.3,119.3
,Devonte' Graham,Nor,G,27.02,57,30.4,63.4,20,10.7,115,0.843,207,0.406,459,0.342,0.48,0.514,12.9,2.5,4.5,4.4,21.2,0.89,0.16,1.51,6.9,107.9,112.8
,Jerami Grant,Det,F,27.97,36,32.2,67,26,10.2,197,0.843,353,0.456,194,0.33,0.47,0.537,18.9,4.1,6.9,2.4,12.9,0.97,1.06,2,7.1,105,110.9
,Hassani Gravett,Orl,G,25.62,8,21.4,44.6,12.3,18.5,4,0.75,12,0.583,26,0.423,0.618,0.629,6.3,2.6,6.5,2.5,17,0.63,0.13,1.13,6.4,113,109
,Danny Green,Phi,G,34.69,42,22.8,47.5,12.7,13,10,0.9,38,0.526,192,0.375,0.557,0.565,6.3,2.4,5.8,1,6,0.98,0.69,0.83,4.3,104.4,106.1
,Draymond Green,Gol,F,31.99,34,29.9,62.4,14.4,31.5,67,0.597,159,0.604,42,0.286,0.567,0.581,7.9,7.6,13.7,7.4,33.6,1.38,1.21,3.12,10.2,110,96.4
,Javonte Green,Chi,G-F,28.61,45,24.3,50.7,11.6,8.3,77,0.831,164,0.634,68,0.338,0.597,0.641,7.6,4.3,9.8,1,5.7,0.93,0.56,0.53,5.3,133.5,106.1
,Jalen Green,Hou,G,20.06,45,30.6,63.7,22.7,13.1,156,0.814,288,0.462,286,0.311,0.464,0.514,14.7,3.2,5.6,2.3,11.9,0.69,0.18,2.16,6.2,97.7,116.7
,JaMychal Green,Den,F-C,31.69,48,15.2,31.8,19,14,71,0.873,136,0.61,104,0.288,0.533,0.586,6.6,3.8,14,0.8,7.8,0.71,0.44,0.92,7.2,112.1,94.9
,Jeff Green,Den,F,35.51,57,24.4,50.8,17,10.4,147,0.83,279,0.602,137,0.314,0.559,0.611,10.3,3.2,7.2,1.3,7.4,0.35,0.39,0.98,5.7,116.3,106.1
,Josh Green,Dal,G,21.29,46,14.3,29.8,13.4,11.2,35,0.714,120,0.575,39,0.308,0.547,0.571,4.3,2.2,8.4,1.3,12.8,0.63,0.2,0.48,6.5,118.9,97.9
,Blake Griffin,Bro,F,32.96,50,17.8,37,16.9,7.4,72,0.722,159,0.566,133,0.241,0.473,0.507,6.6,4.2,12.8,1.9,15,0.52,0.26,0.52,8.4,114.2,104.9
,Quentin Grimes,Nyk,G,21.81,40,17.4,36.3,15.2,10.4,17,0.647,43,0.512,166,0.398,0.579,0.584,6.3,1.9,5.9,1,8.4,0.65,0.25,0.63,5.3,113.9,106
,Kyle Guy,Mia,G,24.55,16,11.2,23.2,19.7,16.4,12,0.667,25,0.48,36,0.389,0.541,0.558,4.6,0.8,4.1,1.1,14.3,0.44,0.06,0.81,5.7,101.9,105.8
,Rui Hachimura,Was,F,24.06,20,18.6,38.8,20.7,8.7,30,0.767,102,0.451,43,0.488,0.534,0.563,8.9,3.1,9,1.1,8.7,0.6,0.25,0.75,6.7,108.2,109.4
,Tyrese Haliburton,Sac,G,22,51,34.4,71.8,18.2,15.4,104,0.837,334,0.491,252,0.413,0.546,0.575,14.3,3.9,6.1,7.4,31.2,1.69,0.67,2.25,8.7,117,114.1
,Tyrese Haliburton,Ind,G,22,7,37.9,79,21.2,19.9,26,0.846,46,0.587,47,0.468,0.645,0.68,20.3,4.4,6.5,10.1,40.7,2,0.29,3.71,10.2,126.3,111.9
,Tyler Hall,Nyk,G,24.93,1,1.9,4,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,R.J. Hampton,Orl,G,21.06,44,19.4,40.5,19.8,15,85,0.612,183,0.399,113,0.372,0.459,0.486,7.4,2.9,8,2.4,19,0.68,0.23,1.34,7.7,95.2,108.5
,Tim Hardaway Jr.,Dal,G-F,29.96,42,29.6,61.8,22,5.6,103,0.757,226,0.473,304,0.336,0.491,0.52,14.2,3.7,6.9,2.2,11.5,0.9,0.14,0.81,6.6,106.5,105.2
,James Harden,Bro,G,32.51,44,37,77.1,28.3,19.8,350,0.869,399,0.476,307,0.332,0.486,0.576,22.5,8,11.6,10.2,40.6,1.27,0.7,4.82,13.2,111.3,107.7
,James Harden,Phi,G,32.51,2,37.2,77.5,23.8,12.7,19,0.947,12,0.583,14,0.571,0.731,0.815,28,9,13.4,14,61.4,2.5,0,2.5,16.4,162,96.7
,Maurice Harkless,Sac,F-G,28.81,43,19.6,40.8,11.3,13,28,0.714,80,0.65,101,0.307,0.544,0.561,5,2.5,6.9,0.5,3.5,0.63,0.56,0.67,3.8,102.4,109.6
,Jared Harper,Nor,G,24.46,2,5.3,10.9,32.9,12.5,0,0,5,0.4,2,0.5,0.5,0.5,3.5,0.5,5.2,1.5,54.3,0,0.5,0.5,10.4,109.5,100.1
,Montrezl Harrell,Was,F-C,28.09,46,24.3,50.6,20.8,9.6,205,0.727,368,0.66,15,0.267,0.65,0.684,14.1,6.7,15.1,2.1,14.2,0.39,0.67,1.09,9.6,135.3,106.8
,Montrezl Harrell,Cha,F-C,28.09,7,28.6,59.5,18.9,8.9,40,0.65,63,0.603,1,0,0.594,0.625,14.6,6.9,12.5,2,10.3,0.43,0.71,1.14,8.2,126.8,106.6
,Gary Harris,Orl,G,27.46,54,29.2,60.8,16.4,9.4,85,0.859,233,0.506,270,0.381,0.542,0.572,11.4,2.1,3.8,1.9,9.8,0.93,0.15,1.04,4.9,110.7,112.2
,Joe Harris,Bro,G-F,30.48,14,30.2,62.9,14.5,11.2,6,0.833,36,0.417,88,0.466,0.617,0.624,11.3,4,7.1,1,4.6,0.5,0.14,1.14,4.7,111.6,109.9
,Shaquille Harrison,Bro,G,28.4,2,11.3,23.5,15.2,25,0,0,4,0.5,2,0,0.333,0.333,2,2,9.5,1.5,17.3,0.5,0.5,1,6.4,75,101.2
,Tobias Harris,Phi,F,29.63,51,35.2,73.4,23,9.6,172,0.855,579,0.52,176,0.347,0.52,0.561,18.3,7.2,11.3,3.6,16.8,0.61,0.65,1.73,8.9,112,106.9
,Isaiah Hartenstein,Lac,C-F,23.82,49,16.2,33.8,19,16.5,87,0.632,240,0.633,10,0.4,0.632,0.643,7.6,4.4,14.3,1.9,18.6,0.71,1.16,1.16,9.9,122.5,93.9
,Josh Hart,Nor,G,26.99,41,33.5,69.8,16.8,15.1,154,0.753,256,0.598,130,0.323,0.56,0.604,13.4,7.8,12.8,4.1,18.3,1.1,0.27,1.98,9,117.5,104.7
,Josh Hart,Por,G,26.99,5,33.5,69.8,23.2,19,21,0.762,32,0.719,31,0.355,0.627,0.658,19,5.4,8.8,4.2,20.7,1,0.4,3.4,9,113.9,108.5
,Udonis Haslem,Mia,F,41.72,9,6.3,13.1,20.5,11.4,3,1,20,0.5,2,0.5,0.523,0.557,2.9,2,17.8,0.3,8.5,0.11,0.11,0.33,7.6,109.8,86.8
,Sam Hauser,Bos,F,24.23,13,4.8,10,15.5,4.5,0,0,0,0,21,0.381,0.571,0.571,1.8,0.6,6.9,0.3,9.3,0.08,0.08,0.08,5.7,117.9,104.9
,Jaxson Hayes,Nor,C-F,21.77,49,17.3,36.1,17.4,10.8,124,0.766,222,0.694,28,0.286,0.664,0.701,8.7,4.1,13,0.5,4.6,0.43,0.76,0.76,6,133,100.8
,Killian Hayes,Det,G,20.6,49,24.4,50.9,14.9,20.1,52,0.788,192,0.422,118,0.263,0.411,0.445,6,3,6.5,4.1,24.8,1.04,0.51,1.71,6.9,93.9,106.1
,Gordon Hayward,Cha,F,31.94,48,32.2,67.1,20.6,10.6,149,0.846,393,0.499,218,0.39,0.529,0.571,16.1,4.6,7.5,3.6,16.3,0.96,0.46,1.67,8,113.1,111.8
,Aaron Henry,Phi,F,22.5,6,2.8,5.9,18.5,28.6,0,0,4,0.25,1,0,0.2,0.2,0.3,0.2,3.3,0,0,0,0.33,0.33,0,,
,Juancho Hernangomez,Bos,F,26.42,18,5.3,11.1,17,16.2,9,0.667,9,0.222,18,0.167,0.241,0.307,1.1,1.4,13.9,0.2,4.1,0.22,0.11,0.33,5.1,74.4,100.6
,Juancho Hernangomez,San,F,26.42,5,10.1,21.1,8.2,20.5,4,0.75,3,0.667,3,0,0.333,0.451,1.4,3,15.6,0.6,6.9,0.2,0.2,0.4,5.4,105.6,114.5
,Juancho Hernangomez,Uta,F,26.42,2,2.6,5.3,17.1,50,0,0,0,0,1,1,1.5,1.5,1.5,0,0,0,0,0,0,0.5,0,,
,Willy Hernangomez,Nor,C-F,27.76,32,16.1,33.5,22.5,11.2,85,0.741,194,0.536,7,0.429,0.54,0.587,8.8,6.8,23.2,1.3,12.9,0.38,0.34,0.94,10.6,122.8,100.3
,Tyler Herro,Mia,G,22.11,49,32.6,68,29,12.7,156,0.853,515,0.47,331,0.378,0.508,0.542,20.2,4.8,8.4,3.9,20.5,0.65,0.16,2.71,8.9,104,107.3
,Buddy Hield,Sac,G,29.2,55,28.6,59.6,22.4,10.9,92,0.87,198,0.419,495,0.368,0.514,0.54,14.4,4,7.6,1.9,9.9,0.87,0.27,1.64,6.7,103.5,111.2
,Buddy Hield,Ind,G,29.2,7,38.7,80.7,21.1,9,9,0.889,55,0.618,62,0.387,0.598,0.612,21.1,5.4,7.8,5,20.6,0.71,0.43,1.71,8.6,120.6,112
,Haywood Highsmith,Mia,F,25.22,7,10.7,22.2,13.6,4.4,2,0,6,0.333,15,0.4,0.524,0.503,3.1,1.3,6.8,0,0,0,0.14,0.14,0,102,106.3
,George Hill,Mil,G,35.83,41,25.5,53,12,12,50,0.96,117,0.556,117,0.316,0.515,0.564,7,3.2,6.7,2.5,12.9,0.8,0.15,0.85,6,119.4,109.2
,Malcolm Hill,Atl,F,26.35,3,15.3,31.9,9.3,0,4,1,3,0.667,5,0.6,0.813,0.871,5.7,2,7.1,0.3,2.9,1.33,0.33,0,3.9,183.3,98.3
,Malcolm Hill,Chi,F,26.35,14,10.8,22.5,13.8,4.2,10,0.7,12,0.667,29,0.345,0.561,0.584,3.8,1.9,9.6,0.3,3.5,0.14,0.14,0.14,4.8,124.3,106.4
,Solomon Hill,Atl,F,30.95,13,10.7,22.3,6.6,4.8,0,0,7,0.143,13,0.154,0.2,0.2,0.6,1.8,9,0.9,10.3,0.31,0.15,0.08,3.7,87.3,105.3
,Nate Hinton,Ind,G-F,22.73,2,1.2,2.5,35.9,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,,
,Jaylen Hoard,Okc,F,22.92,1,1.8,3.8,24,0,0,0,1,0,0,0,0,0,0,2,56.6,0,0,0,0,0,0,,
,Aaron Holiday,Was,G,25.41,41,16.2,33.7,18,14.5,35,0.8,147,0.524,67,0.343,0.521,0.547,6.1,1.6,5.5,1.9,17.4,0.59,0.22,0.95,6.5,104.9,107.4
,Aaron Holiday,Pho,G,25.41,5,17.1,35.7,17.6,20.1,2,0.5,19,0.526,8,0.75,0.704,0.699,7.8,1.8,5.6,3.2,26.3,0.6,0,1.4,8.3,121.5,104.3
,Jrue Holiday,Mil,G,31.72,49,33,68.7,23.3,15.2,126,0.746,467,0.555,224,0.415,0.577,0.597,18.2,4.7,7.4,6.6,31.7,1.43,0.49,2.73,10,117.2,107.3
,Justin Holiday,Ind,F-G,32.9,49,28.9,60.2,16,9.3,41,0.829,122,0.516,336,0.378,0.553,0.568,11,2.8,5.3,1.8,9,0.73,0.37,1,5.3,110.9,111.6
,Justin Holiday,Sac,F-G,32.9,7,29.8,62.2,15.3,12.1,6,0.833,17,0.294,46,0.37,0.484,0.503,9.4,2,3.6,2,9.1,1,0.71,1.29,4.5,99.9,110.9
,Richaun Holmes,Sac,F,28.38,41,24.7,51.4,15.9,14.6,87,0.77,279,0.674,5,0.4,0.673,0.697,11,7.4,16.1,1.1,6.9,0.41,0.98,1.34,7.2,128.2,104.2
,Rodney Hood,Mil,G-F,29.36,39,14.9,31.1,10.6,4.9,14,0.929,51,0.431,80,0.3,0.443,0.47,3.3,1.7,6.1,0.8,6.7,0.31,0.1,0.18,4.4,106.8,110.7
,Rodney Hood,Lac,G-F,29.36,2,6.9,14.4,3.2,0,0,0,1,0,0,0,0,0,0,0.5,3.8,0.5,8.8,0,0,0,0,55.2,116.8
,Scotty Hopson,Okc,G-F,32.57,1,17.7,36.9,14.7,33.3,0,0,3,0.667,1,0,0.5,0.5,4,1,2.9,1,8.5,0,0,2,3.6,69.4,112.3
,Al Horford,Bos,C-F,35.74,53,28.5,59.4,15.7,10,79,0.835,242,0.574,208,0.303,0.519,0.55,10.1,7.6,14.2,3.4,17.2,0.58,1.34,1.02,9,119,101.2
,Talen Horton-Tucker,Lal,G,21.26,44,25.9,54,18.2,13.3,83,0.795,247,0.486,135,0.281,0.463,0.502,9.5,3.3,6.8,2.7,14.6,0.93,0.55,1.45,6.8,100.6,105.1
,Danuel House Jr.,Hou,F-G,28.73,16,14.5,30.3,18.3,17.9,19,0.895,40,0.375,34,0.294,0.405,0.467,4.8,2.7,10.1,1.2,11.7,0.31,0.31,1.13,6.9,89.1,112.6
,Danuel House Jr.,Nyk,F-G,28.73,1,3.4,7.1,12.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,Danuel House Jr.,Uta,F-G,28.73,11,18.5,38.6,13.7,7.8,18,0.722,18,0.611,33,0.455,0.657,0.679,7.3,2.5,7.2,1.2,8.9,0.55,0.45,0.45,6,136.9,105.6
,Dwight Howard,Lal,C-F,36.23,44,14.9,31,14.5,16.8,92,0.63,134,0.597,9,0.667,0.622,0.643,5.4,5.8,20.7,0.5,5.1,0.66,0.66,0.84,6.7,125.8,96.4
,Markus Howard,Den,G,23,24,5.8,12.2,28.2,6.7,15,0.867,21,0.238,56,0.411,0.513,0.55,3.8,0.3,2.8,0.3,6.6,0.29,0,0.25,4.8,103.8,106.3
,Kevin Huerter,Atl,G-F,23.51,53,29.1,60.7,17.1,11.1,37,0.811,250,0.552,272,0.379,0.56,0.571,11.6,3.2,6,2.8,13.6,0.62,0.34,1.26,6.5,111.3,110.4
,Jay Huff,Lal,C,24.52,4,5.1,10.6,8.5,25,0,0,1,0,2,0,0,0,0,1,10.4,0.3,5.8,0.25,0.25,0.25,0,33.8,108.3
,Elijah Hughes,Uta,G,23.98,14,8,16.7,17.2,15.8,3,1,8,0.625,28,0.357,0.556,0.576,3.1,1.2,8.3,0.4,7.5,0.29,0.07,0.5,5.7,104.6,106.1
,Elijah Hughes,Por,G,23.98,5,12.4,25.9,19.6,7.1,0,0,9,0.444,17,0.176,0.327,0.327,3.4,2.4,10.5,0.8,9.2,0.2,0.4,0.4,6,75.7,104.4
,De'Andre Hunter,Atl,F-G,24.24,32,28.9,60.2,19.9,10,90,0.722,223,0.471,116,0.379,0.504,0.538,12.7,3.3,6.3,1.3,6.2,0.63,0.34,1.31,5.2,103.2,107.4
,Chandler Hutchison,Pho,F-G,25.84,6,3.7,7.8,13.3,58.1,2,1,2,0.5,0,0,0.5,0.694,0.7,0.8,11.9,0.3,10.5,0,0,0.67,6,,
,Bones Hyland,Den,G,21.46,49,17.6,36.7,24,12.5,63,0.873,146,0.404,239,0.343,0.473,0.508,8.6,2.7,8.4,2,16.6,0.47,0.27,1.2,8.2,98.5,100.7
,Serge Ibaka,Lac,F,32.45,35,15.4,32.1,19.4,13.9,29,0.69,130,0.538,62,0.387,0.552,0.567,6.6,4.3,14.6,1,10.3,0.2,0.74,0.94,7.9,108.6,100.2
,Serge Ibaka,Mil,F,32.45,5,21.9,45.7,12,9.8,4,0.75,15,0.6,11,0.273,0.519,0.54,6,5.8,13.9,0.6,3.7,0.2,0.4,0.6,5,105.2,93.1
,Andre Iguodala,Gol,G-F,38.09,26,19.9,41.5,11.1,17.4,16,0.813,41,0.634,61,0.23,0.461,0.491,4.1,3.3,9,3.8,25.1,0.85,0.81,0.88,7.5,116.9,104.2
,Joe Ingles,Uta,F-G,34.41,45,24.9,51.9,13.2,13.5,22,0.773,60,0.617,225,0.347,0.54,0.551,7.2,2.9,6.4,3.5,18.9,0.51,0.11,1.02,6.7,116.7,106.7
,Brandon Ingram,Nor,F,24.49,47,34.3,71.4,29.2,11.3,256,0.813,650,0.488,202,0.327,0.488,0.539,22.1,5.7,9.1,5.4,27.7,0.66,0.47,2.62,10.3,108.8,109.5
,Kyrie Irving,Bro,G,29.94,15,36.4,75.8,29.2,9.7,62,0.919,206,0.505,101,0.366,0.52,0.562,25.1,4.7,7,5.3,24.5,1.13,0.6,2.4,9.4,111.4,109.8
,Wes Iwundu,Atl,F,27.2,3,27.4,57.1,11,4.8,4,0.75,13,0.385,5,0.6,0.528,0.557,7.3,4.3,8.6,0,0,0.33,0,0.33,0,114.9,108.3
,Jaren Jackson Jr.,Mem,F-C,22.46,62,27.7,57.8,25.5,9.9,276,0.801,510,0.478,329,0.316,0.477,0.532,16.5,6,11.4,1.1,5.6,0.98,2.23,1.69,6.9,107.4,99.4
,Frank Jackson,Det,G,23.83,43,22.5,46.9,20.7,7,78,0.795,164,0.543,238,0.319,0.505,0.536,10.9,1.6,3.8,1,7,0.51,0.21,0.77,4.6,105.4,112.3
,Isaiah Jackson,Ind,F,20.14,23,11,23,23.7,12.9,49,0.653,91,0.593,9,0.333,0.585,0.613,6.5,3,15.2,0.3,4.5,0.48,1.09,0.78,6.6,115.4,95.5
,Josh Jackson,Det,G-F,25.05,39,18.1,37.8,18.9,12.1,56,0.714,138,0.529,113,0.265,0.47,0.501,7.1,3.2,9.4,1.3,11,0.54,0.46,0.97,6.8,97.5,106.5
,Josh Jackson,Sac,G-F,25.05,2,2.5,5.1,34.9,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0,,
,Justin Jackson,Bos,F,26.93,1,2,4.2,41.3,0,2,1,1,0,0,0,0,0.532,2,0,0,0,0,0,0,0,0,,
,Justin Jackson,Pho,F,26.93,6,5.8,12,18.8,6.7,0,0,5,0.4,9,0.333,0.464,0.464,2.2,1.2,10.8,0.3,7.7,0,0,0.17,6.4,96.4,102.2
,Reggie Jackson,Lac,G,31.87,59,31,64.6,27.2,11.8,130,0.831,534,0.449,408,0.326,0.467,0.494,16.7,3.5,6,4.6,23.9,0.71,0.17,2.27,8.3,98.7,107.6
,LeBron James,Lal,F,37.17,43,36.7,76.5,31.6,12.4,243,0.757,574,0.618,335,0.349,0.584,0.613,29,7.9,11.4,6.3,31.4,1.58,1,3.35,12.3,116.2,106.4
,DeJon Jarreau,Ind,G,24.1,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
,DaQuan Jeffries,Mem,G-F,24.5,3,2.9,6.1,9.4,0,0,0,1,1,1,0,0.5,0.5,0.7,0.7,11.9,0.3,14.6,0,0,0,7.3,,
,Ty Jerome,Okc,G-F,24.65,48,16.7,34.8,20.8,9.6,47,0.809,142,0.493,186,0.29,0.46,0.488,7.1,1.6,5,2.3,21.7,0.63,0.1,0.77,7.1,103,105.6
,Isaiah Joe,Phi,G,22.66,42,12.1,25.1,15.1,8.8,21,0.952,34,0.441,112,0.339,0.493,0.528,3.9,1.1,5.1,0.7,8.1,0.26,0.05,0.36,4.8,104.5,107.3
,Alize Johnson,Chi,F,25.86,16,7.5,15.7,12.4,23.5,7,0.571,21,0.571,2,0,0.522,0.537,1.8,2.3,16.6,0.5,8.6,0.19,0,0.5,6.8,112.6,101.5
,Alize Johnson,Was,F,25.86,3,6.1,12.6,23,31.8,1,0,4,0.5,2,0,0.333,0.311,1.3,4,36.1,0,0,0,0,1,0,73.2,110.9
,BJ Johnson,Orl,F,26.19,4,16.2,33.6,16.7,0,0,0,15,0.467,10,0.4,0.52,0.52,6.5,3.8,12.4,0,0,0,0.25,0,0,113.4,111.7
,Cameron Johnson,Pho,F,25.99,58,26.3,54.8,17,6,90,0.867,187,0.524,338,0.432,0.604,0.631,12.3,4.1,8.4,1.5,7.6,0.83,0.24,0.62,6.4,124.3,103.8
,David Johnson,Tor,G,21.01,2,1,2.1,21.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
,James Johnson,Bro,F,35.03,46,19.8,41.3,14.5,12.1,42,0.524,184,0.543,67,0.254,0.5,0.507,5.9,3.6,9.8,2.1,14.5,0.5,0.43,0.8,7.2,107.9,102.6
,Jalen Johnson,Atl,F,20.2,15,4.5,9.4,18.6,14,6,0.667,14,0.571,8,0.375,0.568,0.588,1.9,1.1,13.8,0.1,2.1,0,0.07,0.27,5.3,99.5,111.3
,Joe Johnson,Bos,G-F,40.68,1,2,4.2,22,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,
,Keldon Johnson,San,F-G,22.39,57,31.5,65.7,20.4,8.3,164,0.756,459,0.488,263,0.422,0.541,0.57,15.9,6,10,1.8,8,0.77,0.14,1.26,7.1,111.6,109.5
